PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32929754","Systemic amyloidosis from A (AA) to T (ATTR): a review","Muchtar E, Dispenzieri A, Magen H, Grogan M, Mauermann M, McPhail ED, Kurtin PJ, Leung N, Buadi FK, Dingli D, Kumar SK, Gertz MA.","J Intern Med. 2021 Mar;289(3):268-292. doi: 10.1111/joim.13169. Epub 2020 Sep 14.","Muchtar E","J Intern Med","2021","2020/09/15","","","10.1111/joim.13169"
"32544917","Confirming the Diagnosis of Amyloidosis","Wisniowski B, Wechalekar A.","Acta Haematol. 2020;143(4):312-321. doi: 10.1159/000508022. Epub 2020 Jun 16.","Wisniowski B","Acta Haematol","2020","2020/06/17","","","10.1159/000508022"
"38306032","Using Neuroimaging to Study Cerebral Amyloid Angiopathy and Its Relationship to Alzheimer's Disease","Wheeler KV, Irimia A, Braskie MN.","J Alzheimers Dis. 2024;97(4):1479-1502. doi: 10.3233/JAD-230553.","Wheeler KV","J Alzheimers Dis","2024","2024/02/02","","","10.3233/JAD-230553"
"30649240","Mechanisms of heart failure in transthyretin vs. light chain amyloidosis","Binder C, Duca F, Stelzer PD, Nitsche C, Rettl R, Aschauer S, Kammerlander AA, Binder T, Agis H, Kain R, Hengstenberg C, Mascherbauer J, Bonderman D.","Eur Heart J Cardiovasc Imaging. 2019 May 1;20(5):512-524. doi: 10.1093/ehjci/jey225.","Binder C","Eur Heart J Cardiovasc Imaging","2019","2019/01/17","","","10.1093/ehjci/jey225"
"30668647","Plasma tau/amyloid-β1-42 ratio predicts brain tau deposition and neurodegeneration in Alzheimer's disease","Park JC, Han SH, Yi D, Byun MS, Lee JH, Jang S, Ko K, Jeon SY, Lee YS, Kim YK, Lee DY, Mook-Jung I.","Brain. 2019 Mar 1;142(3):771-786. doi: 10.1093/brain/awy347.","Park JC","Brain","2019","2019/01/23","","","10.1093/brain/awy347"
"40042503","Circulating proteomic biomarkers for cerebral amyloid angiopathy screening and risk stratification","Xu J, Su Y, Sha Y, Fu J, Yan T, Xu F, Tang H, Ying Y, Xia Y, Dong Q, Gurol ME, Ni J, Cheng X.","Alzheimers Dement. 2025 Mar;21(3):e70044. doi: 10.1002/alz.70044.","Xu J","Alzheimers Dement","2025","2025/03/05","PMC11881623","","10.1002/alz.70044"
"36455492","Association of longitudinal cognitive decline with diffusion MRI in Gray Matter, Amyloid, and Tau deposition","Wang WE, Chen R, Mayrand RP, Adjouadi M, Fang R, DeKosky ST, Duara R, Coombes SA, Vaillancourt DE; Alzheimer's Disease Neuroimaging Initiative.","Neurobiol Aging. 2023 Jan;121:166-178. doi: 10.1016/j.neurobiolaging.2022.10.013. Epub 2022 Nov 5.","Wang WE","Neurobiol Aging","2023","2022/12/01","","","10.1016/j.neurobiolaging.2022.10.013"
"33751222","A systemic apolipoprotein A-IV-associated amyloidosis confirmed by proteome analysis","Murakami T, Takasawa A, Moriki A, Igaki Y, Ikeda H, Murase K, Takada K, Magara K, Aoyama T, Ono Y, Kyuno D, Takasawa K, Murata M, Osanai M.","Virchows Arch. 2021 Nov;479(5):1041-1046. doi: 10.1007/s00428-021-03073-x. Epub 2021 Mar 10.","Murakami T","Virchows Arch","2021","2021/03/22","","","10.1007/s00428-021-03073-x"
"33361604","Presymptomatic Dutch-Type Hereditary Cerebral Amyloid Angiopathy-Related Blood Metabolite Alterations","Chatterjee P, Fagan AM, Xiong C, McKay M, Bhatnagar A, Wu Y, Singh AK, Taddei K, Martins I, Gardener SL, Molloy MP, Multhaup G, Masters CL, Schofield PR, Benzinger TLS, Morris JC, Bateman RJ, Greenberg SM, Wermer MJH, van Buchem MA, Sohrabi HR, Martins RN; Dominantly Inherited Alzheimer Network.","J Alzheimers Dis. 2021;79(2):895-903. doi: 10.3233/JAD-201267.","Chatterjee P","J Alzheimers Dis","2021","2020/12/28","PMC8057860","NIHMS1692136","10.3233/JAD-201267"
"38489560","Association of β-Amyloid, Microglial Activation, Cortical Thickness, and Metabolism in Older Adults Without Dementia","Cai Y, Shi D, Lan G, Chen L, Jiang Y, Zhou L, Guo T; Alzheimer's Disease Neuroimaging Initiative.","Neurology. 2024 Apr 9;102(7):e209205. doi: 10.1212/WNL.0000000000209205. Epub 2024 Mar 15.","Cai Y","Neurology","2024","2024/03/15","","","10.1212/WNL.0000000000209205"
